,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,,,,,,,,,,,,,,
,,,($millions),,Actual,Actual,Actual,Actual,Actual,Forecast,Forecast,Forecast,Forecast,Forecast,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Social security and welfare,,"28,740 ","44,028 ","36,759 ","42,860 ","41,514 ","44,602 ","47,509 ","49,160 ","50,765 ","52,899 ",,,,,,,,,,,,,,
,,,Health,,"18,268 ","19,891 ","22,784 ","27,781 ","28,489 ","30,176 ","30,587 ","31,893 ","33,362 ","33,505 ",,,,,,,,,,,,,,
,,,Education,,"14,293 ","16,322 ","16,039 ","18,023 ","18,403 ","20,159 ","20,538 ","20,609 ","20,625 ","20,551 ",,,,,,,,,,,,,,
,,,Core government services,,"5,166 ","6,083 ","5,754 ","5,720 ","6,806 ","8,198 ","6,908 ","6,338 ","5,732 ","5,627 ",,,,,,,,,,,,,,
,,,Law and order,,"4,625 ","4,911 ","5,202 ","5,444 ","6,165 ","6,687 ","6,656 ","6,552 ","6,489 ","6,476 ",,,,,,,,,,,,,,
,,,Transport and communications,,"2,889 ","3,179 ","5,656 ","4,657 ","5,472 ","5,971 ","6,019 ","4,352 ","3,675 ","4,007 ",,,,,,,,,,,,,,
,,,Economic and industrial services,,"3,006 ","3,988 ","4,481 ","8,078 ","3,690 ","4,294 ","3,529 ","3,417 ","3,402 ","3,287 ",,,,,,,,,,,,,,
,,,Defence,,"2,395 ","2,499 ","2,664 ","2,832 ","2,886 ","3,184 ","3,215 ","3,254 ","3,248 ","3,249 ",,,,,,,,,,,,,,
,,,"Heritage, culture and recreation",,918 ,"1,106 ","1,420 ","1,468 ","1,537 ","1,602 ","1,429 ","1,417 ","1,366 ","1,342 ",,,,,,,,,,,,,,
,,,Primary services,,960 ,961 ,"1,015 ",949 ,"1,156 ","1,345 ","1,118 ","1,035 ",954 ,859 ,,,,,,,,,,,,,,
,,,Housing and community development,,727 ,"1,015 ","1,813 ","2,033 ","2,312 ","2,834 ","2,531 ","2,294 ","2,350 ","2,088 ",,,,,,,,,,,,,,
,,,Environmental protection,,"1,119 ","1,485 ","1,906 ","2,549 ","2,381 ","2,839 ","2,849 ","2,579 ","2,602 ","2,724 ",,,,,,,,,,,,,,
,,,GSF pension expenses,,66 ,73 ,99 ,94 ,61 ,60 ,50 ,48 ,47 ,45 ,,,,,,,,,,,,,,
,,,Other,,96 ,63 ,254 ,269 ,133 ,135 ,737 ,140 ,140 ,140 ,,,,,,,,,,,,,,
,,,Finance costs,,"3,691 ","3,228 ","1,918 ","2,884 ","6,569 ","8,939 ","9,224 ","9,556 ","10,445 ","11,278 ",,,,,,,,,,,,,,
,,,Forecast new operating spending,, ..  , ..  , ..  , ..  , ..  , ..  ,"3,796 ","5,464 ","6,264 ","8,627 ",,,,,,,,,,,,,,
,,,Top-down operating expense adjustment,, ..  , ..  , ..  , ..  , ..  ,"( 2,700)","( 2,800)",( 450),( 350),( 350),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Core Crown expenses,,"86,959 ","108,832 ","107,764 ","125,641 ","127,574 ","138,325 ","143,895 ","147,658 ","151,116 ","156,354 ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,The classifications of the functions of the Government reflect current approved baselines. Forecast new operating spending is shown as a separate line item in the above analysis and will be allocated to,,,,,,,,,,,,,,,,,,,,,,,,,
,,,functions of the Government once decisions are made in future Budgets.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Source:                The Treasury,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 5.1,,,Social security and welfare expenses,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,,,,,,,,,,,,,,
,,,($millions),,Actual,Actual,Actual,Actual,Actual,Forecast,Forecast,Forecast,Forecast,Forecast,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Welfare benefits (see below)1,,"26,689 ","41,308 ","33,671 ","39,187 ","37,576 ","40,248 ","43,306 ","45,190 ","46,889 ","48,967 ",,,,,,,,,,,,,,
,,,Departmental expenses,,"1,784 ","2,062 ","2,424 ","2,747 ","2,782 ","3,084 ","2,891 ","2,715 ","2,609 ","2,636 ",,,,,,,,,,,,,,
,,,Social rehabilitation and compensation,,249 ,260 ,333 ,358 ,386 ,415 ,447 ,481 ,517 ,553 ,,,,,,,,,,,,,,
,,,Flexi-wage subsidy,,..  ,..  ,8 ,59 ,52 ,25 ,27 ,..  ,..  ,..  ,,,,,,,,,,,,,,
,,,COVID-19 Income Relief Assistance,,..  ,15 ,182 ,..  ,..  ,..  ,..  ,..  ,..  ,..  ,,,,,,,,,,,,,,
,,,"Other non-departmental expenses1,2",,18 ,383 ,141 ,509 ,718 ,830 ,838 ,774 ,750 ,743 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Social security and welfare expenses,,"28,740 ","44,028 ","36,759 ","42,860 ","41,514 ","44,602 ","47,509 ","49,160 ","50,765 ","52,899 ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1. The '2023 Actual' has been restated to include expenses previously classified as other benefits within the welfare benefit expenses table below.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2. The '2020 Actual' other non-departmental expenses include costs in relation to the Government's response to COVID-19.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Source:                The Treasury,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 5.2,,,Welfare benefit expenses,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,,,,,,,,,,,,,,
,,,($millions),,Actual,Actual,Actual,Actual,Actual,Forecast,Forecast,Forecast,Forecast,Forecast,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,New Zealand Superannuation,,"14,562 ","15,521 ","16,569 ","17,764 ","19,517 ","21,567 ","23,194 ","24,701 ","26,225 ","27,883 ",,,,,,,,,,,,,,
,,,Jobseeker Support and Emergency Benefit,,"1,854 ","2,285 ","3,224 ","3,330 ","3,473 ","4,048 ","4,435 ","4,453 ","4,435 ","4,481 ",,,,,,,,,,,,,,
,,,Supported Living Payment,,"1,556 ","1,650 ","1,826 ","2,047 ","2,311 ","2,528 ","2,661 ","2,750 ","2,819 ","2,884 ",,,,,,,,,,,,,,
,,,Sole Parent Support,,"1,115 ","1,231 ","1,455 ","1,704 ","1,917 ","2,094 ","2,245 ","2,249 ","2,233 ","2,241 ",,,,,,,,,,,,,,
,,,Family Tax Credit,,"2,131 ","2,189 ","2,103 ","2,017 ","2,151 ","2,281 ","2,316 ","2,276 ","2,285 ","2,420 ",,,,,,,,,,,,,,
,,,Other Working for Families tax credits,,635 ,641 ,585 ,519 ,476 ,461 ,594 ,595 ,580 ,582 ,,,,,,,,,,,,,,
,,,Accommodation Assistance1,,"1,640 ","1,923 ","2,302 ","2,386 ","2,349 ","2,427 ","2,495 ","2,490 ","2,450 ","2,467 ",,,,,,,,,,,,,,
,,,Income-Related Rents,,974 ,"1,071 ","1,202 ","1,323 ","1,322 ","1,459 ","1,619 ","1,819 ","1,920 ","1,943 ",,,,,,,,,,,,,,
,,,Disability Assistance,,386 ,395 ,409 ,412 ,431 ,467 ,496 ,511 ,523 ,537 ,,,,,,,,,,,,,,
,,,Winter Energy Payment,,441 ,669 ,812 ,513 ,519 ,535 ,555 ,565 ,573 ,582 ,,,,,,,,,,,,,,
,,,Best start,,48 ,184 ,271 ,308 ,321 ,340 ,339 ,333 ,333 ,349 ,,,,,,,,,,,,,,
,,,Orphan's/Unsupported Child's Benefit,,225 ,248 ,293 ,313 ,350 ,383 ,405 ,417 ,426 ,434 ,,,,,,,,,,,,,,
,,,Hardship Assistance,,300 ,418 ,479 ,497 ,673 ,671 ,751 ,787 ,806 ,847 ,,,,,,,,,,,,,,
,,,Paid Parental Leave,,369 ,422 ,503 ,603 ,608 ,650 ,685 ,730 ,765 ,800 ,,,,,,,,,,,,,,
,,,Childcare Assistance,,183 ,144 ,145 ,132 ,139 ,168 ,196 ,204 ,214 ,223 ,,,,,,,,,,,,,,
,,,FamilyBoost tax credit,,..  ,..  ,..  ,..  ,..  ,..  ,174 ,171 ,167 ,165 ,,,,,,,,,,,,,,
,,,Veteran's Support Entitlement2,,90 ,66 ,..  ,..  ,..  ,..  ,..  ,..  ,..  ,..  ,,,,,,,,,,,,,,
,,,Veteran's Pension,,153 ,145 ,139 ,134 ,132 ,132 ,129 ,124 ,118 ,113 ,,,,,,,,,,,,,,
,,,Wage Subsidy Scheme,,..  ,"12,095 ","1,197 ","4,689 ",..  ,1 ,..  ,..  ,..  ,..  ,,,,,,,,,,,,,,
,,,Cost of living payment,,..  ,..  ,..  ,..  ,600 ,..  ,..  ,..  ,..  ,..  ,,,,,,,,,,,,,,
,,,Covid leave support,,..  ,..  ,..  ,471 ,273 ,20 ,..  ,..  ,..  ,..  ,,,,,,,,,,,,,,
,,,"Other benefits3,4",,27 ,11 ,157 ,25 ,14 ,16 ,17 ,15 ,17 ,16 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Benefit expenses,,"26,689 ","41,308 ","33,671 ","39,187 ","37,576 ","40,248 ","43,306 ","45,190 ","46,889 ","48,967 ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1. Includes emergency housing assistance.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2. Expenditure on Veteran's support entitlements are no longer recognised from '2021 Actual' owing to a change in accounting treatment.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3. The '2021 Actual' for other benefits include costs in relation to the Government's response to COVID-19.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,4. The '2023 Actual' has been restated to reclassify expenses from other benefits to other non-departmental expenses within the social security and welfare expenses table above.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,Source:                The Treasury,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Beneficiary numbers1,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,,,,,,,,,,,,,,
,,,(Thousands),,Actual,Actual,Actual,Actual,Actual,Forecast,Forecast,Forecast,Forecast,Forecast,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,New Zealand Superannuation,,767 ,795 ,825 ,848 ,870 ,899 ,927 ,958 ,989 ,"1,021 ",,,,,,,,,,,,,,
,,,Jobseeker Support and Emergency Benefit,,139 ,162 ,211 ,193 ,177 ,193 ,204 ,200 ,195 ,192 ,,,,,,,,,,,,,,
,,,Supported living payment,,95 ,96 ,97 ,98 ,103 ,105 ,107 ,108 ,108 ,108 ,,,,,,,,,,,,,,
,,,Sole parent support,,59 ,61 ,66 ,70 ,73 ,76 ,78 ,76 ,74 ,73 ,,,,,,,,,,,,,,
,,,Accommodation Supplement,,295 ,318 ,364 ,353 ,347 ,358 ,370 ,370 ,365 ,365 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1.  Actual numbers have been reclassified so may differ from previous published Economic and Fiscal Update numbers.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Source:                Ministry of Social Development,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 5.3,,,Health expenses,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,,,,,,,,,,,,,,
,,,($millions),,Actual,Actual,Actual,Actual,Actual,Forecast,Forecast,Forecast,Forecast,Forecast,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Departmental outputs,,210 ,236 ,298 ,386 ,222 ,269 ,232 ,214 ,214 ,210 ,,,,,,,,,,,,,,
,,,Purchasing of health services1,,"13,968 ","15,537 ","16,837 ","17,727 ","21,363 ","23,784 ","24,477 ","25,771 ","27,098 ","27,107 ",,,,,,,,,,,,,,
,,,National disability support services,,"1,358 ","1,599 ","1,659 ","1,870 ","2,062 ","2,361 ","2,594 ","2,508 ","2,518 ","2,538 ",,,,,,,,,,,,,,
,,,National Pharmaceuticals Purchasing2,,985 ,"1,040 ","1,045 ","1,085 ","1,186 ","1,806 ","1,582 ","1,604 ","1,618 ","1,619 ",,,,,,,,,,,,,,
,,,Other non-departmental outputs,,"1,014 ",767 ,623 ,770 ,583 ,620 ,624 ,629 ,642 ,661 ,,,,,,,,,,,,,,
,,,Health payments to ACC,,705 ,679 ,"1,038 ",896 ,952 ,"1,010 ","1,071 ","1,162 ","1,265 ","1,362 ",,,,,,,,,,,,,,
,,,National health response to COVID-193,,..  ,..  ,"1,261 ","4,965 ","2,112 ",316 ,..  ,..  ,..  ,..  ,,,,,,,,,,,,,,
,,,Other expenses,,28 ,33 ,23 ,82 ,9 ,10 ,7 ,5 ,7 ,8 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Health expenses,,"18,268 ","19,891 ","22,784 ","27,781 ","28,489 ","30,176 ","30,587 ","31,893 ","33,362 ","33,505 ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1.  Reforms to the NZ health system took place from 1 July 2022 with the regional DHB systems replaced by a national health system.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2.  Previously included in purchasing of health services.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"3.  This line includes spending in relation to vaccines, managed isolation and quarantine as well as the overall COVID-19 response.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Source:                The Treasury,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 5.4,,,Education expenses,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,,,,,,,,,,,,,,
,,,($millions),,Actual,Actual,Actual,Actual,Actual,Forecast,Forecast,Forecast,Forecast,Forecast,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Early childhood education,,"1,896 ","2,007 ","2,132 ","2,247 ","2,355 ","2,617 ","2,811 ","2,879 ","2,906 ","2,963 ",,,,,,,,,,,,,,
,,,Primary and secondary schools (see below),,"6,823 ","7,108 ","8,230 ","8,478 ","8,616 ","9,715 ","10,040 ","10,225 ","10,128 ","9,943 ",,,,,,,,,,,,,,
,,,Tertiary funding (see below),,"4,112 ","5,621 ","3,519 ","4,804 ","4,663 ","4,934 ","5,151 ","5,026 ","5,008 ","5,094 ",,,,,,,,,,,,,,
,,,Departmental expenses,,"1,416 ","1,534 ","1,656 ","1,962 ","2,188 ","2,526 ","2,322 ","2,293 ","2,398 ","2,391 ",,,,,,,,,,,,,,
,,,COVID-19 apprentice support,,..  ,..  ,156 ,255 ,141 ,112 ,32 ,26 ,26 ,26 ,,,,,,,,,,,,,,
,,,Other education expenses1,,46 ,52 ,346 ,277 ,440 ,255 ,182 ,160 ,159 ,134 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Education expenses,,"14,293 ","16,322 ","16,039 ","18,023 ","18,403 ","20,159 ","20,538 ","20,609 ","20,625 ","20,551 ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1. Includes training incentive allowance.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Source:                The Treasury,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,,,,,,,,,,,,,,
,,,Number of places provided1,,Actual,Actual,Actual,Actual,Actual,Forecast,Forecast,Forecast,Forecast,Forecast,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Early childhood education,,"221,137","221,971","225,192","220,859","219,800","220,489","222,763","224,912","228,215","230,382",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"1. Full-time equivalent based on 1,000 funded child hours per calendar year.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,    Historical place numbers have been revised so may differ from previous published Economic and Fiscal Update numbers.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Source:                The Ministry of Education,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 5.5,,,Primary and secondary schools,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,,,,,,,,,,,,,,
,,,($millions),,Actual,Actual,Actual,Actual,Actual,Forecast,Forecast,Forecast,Forecast,Forecast,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Primary ,,"3,452 ","3,600 ","4,107 ","4,122 ","4,116 ","4,617 ","4,921 ","5,007 ","5,007 ","4,949 ",,,,,,,,,,,,,,
,,,Secondary ,,"2,606 ","2,683 ","3,043 ","3,135 ","3,174 ","3,667 ","3,626 ","3,740 ","3,766 ","3,765 ",,,,,,,,,,,,,,
,,,School transport,,206 ,208 ,216 ,210 ,235 ,255 ,256 ,256 ,256 ,256 ,,,,,,,,,,,,,,
,,,Special needs support,,447 ,515 ,641 ,658 ,673 ,740 ,784 ,803 ,820 ,810 ,,,,,,,,,,,,,,
,,,Professional development,,104 ,91 ,104 ,129 ,128 ,118 ,147 ,153 ,129 ,129 ,,,,,,,,,,,,,,
,,,Schooling improvement,,8 ,7 ,25 ,20 ,23 ,34 ,31 ,34 ,34 ,34 ,,,,,,,,,,,,,,
,,,School lunch programme,,..  ,4 ,94 ,204 ,267 ,284 ,275 ,232 ,116 ,..  ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Primary and secondary education expenses,,"6,823 ","7,108 ","8,230 ","8,478 ","8,616 ","9,715 ","10,040 ","10,225 ","10,128 ","9,943 ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Source:                The Treasury,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,,,,,,,,,,,,,,
,,,Number of places provided1,,Actual,Actual,Actual,Actual,Actual,Forecast,Forecast,Forecast,Forecast,Forecast,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Primary,,"527,429","530,379","529,859","520,060","523,982","525,026","522,399","517,481","513,797","507,763",,,,,,,,,,,,,,
,,,Secondary,,"279,904","286,511","294,216","297,309","303,706","311,545","316,696","319,511","319,756","317,617",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1. These are snapshots as at 1 July for primary year levels (years 1 to 8) and 1 March for secondary year levels (years 9 to 13). These numbers exclude home schooling.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"    They are the number of full-time equivalent students enrolled in New Zealand schools, including State, State-integrated, Private-Fully Registered, Private-Provisionally Registered and other. ",,,,,,,,,,,,,,,,,,,,,,,,,
,,,    ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Source:                Ministry of Education,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 5.6,,,Tertiary funding,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,,,,,,,,,,,,,,
,,,($millions),,Actual,Actual,Actual,Actual,Actual,Forecast,Forecast,Forecast,Forecast,Forecast,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Tuition1,,"2,571 ","3,911 ","2,019 ","3,205 ","3,135 ","3,166 ","3,219 ","3,097 ","3,047 ","3,099 ",,,,,,,,,,,,,,
,,,Other tertiary funding,,606 ,637 ,698 ,755 ,729 ,700 ,720 ,643 ,643 ,640 ,,,,,,,,,,,,,,
,,,Student allowances,,583 ,567 ,590 ,556 ,525 ,529 ,579 ,610 ,612 ,616 ,,,,,,,,,,,,,,
