,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Student loans,,352 ,506 ,212 ,288 ,274 ,539 ,633 ,676 ,706 ,739 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Tertiary education expenses,,"4,112 ","5,621 ","3,519 ","4,804 ","4,663 ","4,934 ","5,151 ","5,026 ","5,008 ","5,094 ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1. The '2020 Actual' includes increased funding to provide revenue certainty to tertiary education organisations for the June to December 2020 period due to the impact of COVID-19. ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,    There is a corresponding reduction in the '2021 Actual' with the timing of funding returning to normal from 2022.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Source:                The Treasury,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,,,,,,,,,,,,,,
,,,Number of places provided1,,Actual,Actual,Actual,Actual,Actual,Forecast,Forecast,Forecast,Forecast,Forecast,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Actual delivered and estimated funded places,,"217,767","214,172","234,350 ","219,862 ","213,457 ","273,300 ","271,100 ","260,600 ","260,300 ","259,400 ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1.  Tertiary places are the number of equivalent full time (EFT) students in: student achievement component; adult and community education; and youth guarantee programmes. ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,     Place numbers are based on calendar years rather than fiscal years. Note that historical place numbers have been revised so may differ from previous published ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,     Economic and Fiscal Update numbers. The forecast number of places provided is based on the number of places that can be funded under the current funding and not a forecast ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"     based on demand. From 2023, places include Industry Training Funding.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Source:                Tertiary Education Commission,,,,,, ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 5.7,,,Core government service expenses,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,,,,,,,,,,,,,,
,,,($millions),,Actual,Actual,Actual,Actual,Actual,Forecast,Forecast,Forecast,Forecast,Forecast,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Departmental expenses,,"2,199 ","2,249 ","2,271 ","2,477 ","2,736 ","2,874 ","2,790 ","2,566 ","2,466 ","2,476 ",,,,,,,,,,,,,,
,,,International Development Cooperation,,708 ,736 ,804 ,827 ,971 ,"1,214 ","1,103 ",953 ,853 ,853 ,,,,,,,,,,,,,,
,,,Tax receivable write-down and impairments,,829 ,"1,356 ",882 ,662 ,"1,453 ","1,900 ","1,676 ",948 ,948 ,948 ,,,,,,,,,,,,,,
,,,Non-departmental expenses1,,961 ,785 ,905 ,928 ,703 ,505 ,578 ,"1,053 ",752 ,675 ,,,,,,,,,,,,,,
,,,North Island weather events,,..  ,..  ,..  ,..  ,,707 ,146 ,248 ,161 ,132 ,,,,,,,,,,,,,,
,,,Science expenses,,103 ,113 ,121 ,114 ,128 ,120 ,120 ,123 ,127 ,124 ,,,,,,,,,,,,,,
,,,Indemnity and guarantee expenses,,16 ,14 ,6 ,3 ,24 ,37 ,31 ,25 ,24 ,23 ,,,,,,,,,,,,,,
,,,Crown Research Institutes: COVID-19,,..  ,45 ,45 ,..  ,..  ,..  ,..  ,..  ,..  ,..  ,,,,,,,,,,,,,,
,,,Shovel ready project funding ,,..  ,..  ,137 ,..  ,3 ,25 ,..  ,..  ,..  ,..  ,,,,,,,,,,,,,,
,,,"Other expenses1,2",,350 ,785 ,583 ,709 ,788 ,816 ,464 ,422 ,401 ,396 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Core government service expenses,,"5,166 ","6,083 ","5,754 ","5,720 ","6,806 ","8,198 ","6,908 ","6,338 ","5,732 ","5,627 ",,,,,,,,,,,,,,
,,, ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1.  The '2023 Actual' has been restated to update sub-classifications.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2.  The '2020 Actual' other expenses include costs in relation to the Government's response to COVID-19.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Source:                The Treasury,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 5.8,,,Law and order expenses,,,,,,,,,,,,,,,,,,,,,,,,,
,,, ,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,,,,,,,,,,,,,,
,,,($millions),,Actual,Actual,Actual,Actual,Actual,Forecast,Forecast,Forecast,Forecast,Forecast,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Police,,"1,760 ","1,997 ","2,079 ","2,206 ","2,476 ","2,658 ","2,528 ","2,392 ","2,360 ","2,353 ",,,,,,,,,,,,,,
,,,Department of Corrections,,"1,417 ","1,527 ","1,641 ","1,645 ","1,798 ","1,980 ","2,085 ","2,140 ","2,128 ","2,123 ",,,,,,,,,,,,,,
,,,Ministry of Justice,,542 ,591 ,642 ,704 ,748 ,833 ,813 ,804 ,804 ,803 ,,,,,,,,,,,,,,
,,,NZ Customs Service1,,187 ,201 ,182 ,200 ,190 ,206 ,254 ,253 ,252 ,252 ,,,,,,,,,,,,,,
,,,Other departments1,,111 ,163 ,178 ,152 ,231 ,240 ,253 ,240 ,240 ,240 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Departmental expenses,,"4,017 ","4,479 ","4,722 ","4,907 ","5,443 ","5,917 ","5,933 ","5,829 ","5,784 ","5,771 ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Non-departmental outputs,,457 ,419 ,477 ,537 ,712 ,721 ,678 ,681 ,663 ,663 ,,,,,,,,,,,,,,
,,,Other expenses,,151 ,13 ,3 ,..  ,10 ,49 ,45 ,42 ,42 ,42 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Law and order expenses,,"4,625 ","4,911 ","5,202 ","5,444 ","6,165 ","6,687 ","6,656 ","6,552 ","6,489 ","6,476 ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1.  The '2023 Actual' has been restated to update sub-classifications.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Source:                The Treasury,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 5.9,,,Transport and communication expenses,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,,,,,,,,,,,,,,
,,,($millions),,Actual,Actual,Actual,Actual,Actual,Forecast,Forecast,Forecast,Forecast,Forecast,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Departmental outputs,,60 ,70 ,73 ,82 ,124 ,137 ,108 ,105 ,82 ,82 ,,,,,,,,,,,,,,
,,,Waka Kotahi NZ Transport Agency,,"2,601 ","2,719 ","3,122 ","2,782 ","2,212 ","3,240 ","3,465 ","3,543 ","3,341 ","3,698 ",,,,,,,,,,,,,,
,,,Rail funding,,3 ,3 ,13 ,310 ,567 ,"1,012 ",748 ,464 ,10 ,..  ,,,,,,,,,,,,,,
,,,Funding to support the aviation and transport industries,,..  ,78 ,570 ,554 ,197 ,89 ,89 ,..  ,..  ,..  ,,,,,,,,,,,,,,
,,,North Island weather events,,..  ,..  ,..  ,..  ,250 ,481 ,322 ,..  ,..  ,..  ,,,,,,,,,,,,,,
,,,Funding to support Waka Kotahi NZ Transport Agency due to impact of COVID-19,,..  ,..  ,322 ,128 ,18 ,65 ,1 ,..  ,..  ,..  ,,,,,,,,,,,,,,
,,,Shovel ready project funding to Crown Infrastructure Partners,,..  ,..  ,"1,035 ",..  ,..  ,326 ,..  ,..  ,..  ,..  ,,,,,,,,,,,,,,
,,,Transport temporary relief package1,,..  ,..  ,..  ,411 ,"1,613 ",..  ,..  ,..  ,..  ,..  ,,,,,,,,,,,,,,
,,,Other non-departmental expenses,,158 ,145 ,169 ,200 ,395 ,343 ,206 ,154 ,155 ,139 ,,,,,,,,,,,,,,
,,,Other expenses2,,67 ,164 ,352 ,190 ,96 ,278 ,"1,080 ",86 ,87 ,88 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Transport and communication expenses,,"2,889 ","3,179 ","5,656 ","4,657 ","5,472 ","5,971 ","6,019 ","4,352 ","3,675 ","4,007 ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1.  Largely reflects operating funding to Waka Kotahi NZ Transport Agency to account for the shortfall in revenue as a result of temporary reductions in fuel excise duty and ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,     road user charges. ,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2. The '2020 Actual' to '2022 Actual' for other expenses include costs in relation to the Government's response to COVID-19.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Source:                The Treasury,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 5.10,,,Economic and industrial services expenses,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,,,,,,,,,,,,,,
,,,($millions),,Actual,Actual,Actual,Actual,Actual,Forecast,Forecast,Forecast,Forecast,Forecast,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Departmental outputs,,499 ,561 ,633 ,626 ,695 ,808 ,649 ,641 ,622 ,621 ,,,,,,,,,,,,,,
,,,"Non-departmental outputs1,2",,"1,338 ","1,619 ","1,980 ","1,701 ","1,573 ","1,909 ","1,448 ","1,442 ","1,405 ","1,286 ",,,,,,,,,,,,,,
,,,KiwiSaver (includes HomeStart grant),,951 ,893 ,916 ,964 ,997 ,"1,061 ","1,104 ","1,149 ","1,196 ","1,246 ",,,,,,,,,,,,,,
,,,Initial fair value write-down on the Small Business Cashflow Scheme loans,,..  ,686 ,143 ,230 ,54 ,2 ,..  ,..  ,..  ,..  ,,,,,,,,,,,,,,
,,,COVID-19 Resurgence Support payments,,..  ,..  ,200 ,"4,019 ",..  ,..  ,..  ,..  ,..  ,..  ,,,,,,,,,,,,,,
,,,Shovel ready project to support energy projects,,..  ,..  ,24 ,14 ,13 ,43 ,..  ,..  ,..  ,..  ,,,,,,,,,,,,,,
,,,Shovel ready project funding to support regional projects,,..  ,..  ,159 ,174 ,67 ,..  ,..  ,..  ,..  ,..  ,,,,,,,,,,,,,,
,,,Worker redeployment package,,..  ,19 ,50 ,6 ,1 ,..  ,..  ,..  ,..  ,..  ,,,,,,,,,,,,,,
,,,Other expenses3,,218 ,210 ,376 ,344 ,290 ,471 ,328 ,185 ,179 ,134 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Economic and industrial services expenses,,"3,006 ","3,988 ","4,481 ","8,078 ","3,690 ","4,294 ","3,529 ","3,417 ","3,402 ","3,287 ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1. Non-departmental outputs include Provincial Growth Fund expenses.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2. Non-departmental outputs include employment initiatives previously presented separately.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3. The '2020 Actual' to '2022 Actual' other expenses include costs in relation to the Government's response to COVID-19.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Source:                The Treasury,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 5.11,,,Defence expenses,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,,,,,,,,,,,,,,
,,,($millions),,Actual,Actual,Actual,Actual,Actual,Forecast,Forecast,Forecast,Forecast,Forecast,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,New Zealand Defence Force expenses,,"2,286 ","2,418 ","2,531 ","2,672 ","2,754 ","3,037 ","3,079 ","3,093 ","3,096 ","3,096 ",,,,,,,,,,,,,,
,,,Other expenses,,109 ,81 ,133 ,160 ,132 ,147 ,136 ,161 ,152 ,153 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Defence expenses,,"2,395 ","2,499 ","2,664 ","2,832 ","2,886 ","3,184 ","3,215 ","3,254 ","3,248 ","3,249 ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Source:                The Treasury,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 5.12,,,"Heritage, culture and recreation expenses",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,,,,,,,,,,,,,,
,,,($millions),,Actual,Actual,Actual,Actual,Actual,Forecast,Forecast,Forecast,Forecast,Forecast,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Departmental outputs,,305 ,326 ,379 ,374 ,449 ,503 ,481 ,529 ,529 ,505 ,,,,,,,,,,,,,,
,,,Non-departmental outputs,,538 ,627 ,884 ,809 ,837 ,878 ,818 ,840 ,789 ,789 ,,,,,,,,,,,,,,
,,,Screen Production Grants,,42 ,31 ,48 ,69 ,66 ,86 ,75 ,..  ,..  ,..  ,,,,,,,,,,,,,,
,,,COVID-19 cultural sector response,,..  ,..  ,6 ,73 ,70 ,36 ,1 ,..  ,..  ,..  ,,,,,,,,,,,,,,
,,,Other expenses1,,33 ,122 ,103 ,143 ,115 ,99 ,54 ,48 ,48 ,48 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"Heritage, culture and recreation expenses",,918 ,"1,106 ","1,420 ","1,468 ","1,537 ","1,602 ","1,429 ","1,417 ","1,366 ","1,342 ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1.  The '2020 Actual' to '2022 Actual' other expenses include costs in relation to the Government's response to COVID-19.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Source:                The Treasury,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 5.13,,,Primary services expenses,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,,,,,,,,,,,,,,
,,,($millions),,Actual,Actual,Actual,Actual,Actual,Forecast,Forecast,Forecast,Forecast,Forecast,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Departmental expenses,,677 ,727 ,691 ,724 ,788 ,870 ,842 ,815 ,769 ,770 ,,,,,,,,,,,,,,
,,,Non-departmental outputs,,110 ,89 ,178 ,106 ,149 ,153 ,116 ,109 ,90 ,76 ,,,,,,,,,,,,,,
,,,Other expenses1,,173 ,145 ,146 ,119 ,219 ,322 ,160 ,111 ,95 ,13 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Primary services expenses,,960 ,961 ,"1,015 ",949 ,"1,156 ","1,345 ","1,118 ","1,035 ",954 ,859 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"1. From '2023 Actual' onwards other expenses include aquaculture settlements, expenses associated with sustainable food and fibre futures and the North Island weather events.",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Source:                The Treasury,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 5.14,,,Housing and community development expenses,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,,,,,,,,,,,,,,
,,,($millions),,Actual,Actual,Actual,Actual,Actual,Forecast,Forecast,Forecast,Forecast,Forecast,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Departmental outputs,,195 ,220 ,237 ,255 ,259 ,305 ,280 ,275 ,230 ,231 ,,,,,,,,,,,,,,
,,,Community services,,183 ,235 ,349 ,438 ,477 ,462 ,429 ,401 ,400 ,398 ,,,,,,,,,,,,,,
,,,Housing Acceleration Fund,,..  ,..  ,..  ,22 ,30 ,111 ,331 ,267 ,342 ,186 ,,,,,,,,,,,,,,
,,,Transitional housing1,,87 ,163 ,253 ,324 ,318 ,379 ,219 ,252 ,296 ,283 ,,,,,,,,,,,,,,
,,,Water infrastructure,,..  ,..  ,267 ,239 ,301 ,309 ,102 ,83 ,79 ,..  ,,,,,,,,,,,,,,
,,,Shovel ready project funding to support housing projects,,..  ,..  ,46 ,35 ,39 ,65 ,34 ,3 ,..  ,..  ,,,,,,,,,,,,,,
,,,Warm up New Zealand,,16 ,47 ,99 ,62 ,34 ,16 ,83 ,83 ,83 ,83 ,,,,,,,,,,,,,,
,,,Other non-departmental expenses,,180 ,313 ,522 ,601 ,681 ,"1,044 ",952 ,576 ,839 ,828 ,,,,,,,,,,,,,,
,,,Other expenses2,,66 ,37 ,40 ,57 ,173 ,143 ,101 ,354 ,81 ,79 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Housing and community development expenses,,727 ,"1,015 ","1,813 ","2,033 ","2,312 ","2,834 ","2,531 ","2,294 ","2,350 ","2,088 ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1. Previously included in other non-departmental expenses.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2. Includes housing subsidies previously presented separately.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Source:                The Treasury,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 5.15,,,Environmental protection expenses,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,,,,,,,,,,,,,,
,,,($millions),,Actual,Actual,Actual,Actual,Actual,Forecast,Forecast,Forecast,Forecast,Forecast,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,NZ Emissions Trading Scheme1,,543 ,650 ,947 ,"1,498 ","1,215 ","1,302 ","1,273 ","1,334 ","1,418 ","1,505 ",,,,,,,,,,,,,,
,,,Departmental outputs,,460 ,542 ,614 ,690 ,776 ,891 ,799 ,737 ,729 ,724 ,,,,,,,,,,,,,,
,,,Non-departmental outputs,,82 ,257 ,318 ,170 ,165 ,393 ,585 ,440 ,391 ,480 ,,,,,,,,,,,,,,
,,,Clean car discount,,..  ,..  ,..  ,128 ,203 ,111 ,..  ,..  ,..  ,..  ,,,,,,,,,,,,,,
,,,Accelerating energy efficiency and fuel switching,,..  ,..  ,..  ,..  ,2 ,81 ,146 ,49 ,49 ,..  ,,,,,,,,,,,,,,
,,,Other expenses1,,34 ,36 ,27 ,63 ,20 ,61 ,46 ,19 ,15 ,15 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Environmental protection expenses,,"1,119 ","1,485 ","1,906 ","2,549 ","2,381 ","2,839 ","2,849 ","2,579 ","2,602 ","2,724 ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1. '2021 Actual' to '2023 Actual' were restated to update sub-classifications.,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Source:                The Treasury,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 5.16,,,Finance costs,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,,,,,,,,,,,,,,
,,,($millions),,Actual,Actual,Actual,Actual,Actual,Forecast,Forecast,Forecast,Forecast,Forecast,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Interest on financial liabilities,,"3,398 ","2,971 ","1,846 ","2,796 ","6,154 ","8,324 ","8,706 ","9,123 ","10,040 ","10,879 ",,,,,,,,,,,,,,
,,,Interest unwind on provisions,,293 ,257 ,72 ,88 ,415 ,615 ,518 ,433 ,405 ,399 ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Finance costs expenses,,"3,691 ","3,228 ","1,918 ","2,884 ","6,569 ","8,939 ","9,224 ","9,556 ","10,445 ","11,278 ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Source:                The Treasury,,,,,,,,,,,,,,,,,,,,,,,,,
